script_element,character,text
heading,,"[Scene: Central Perk, everyone is there as Rachel enters.]"
dialogue,Rachel,"Hey, you guys! Guess what? Barry and Mindy are getting a divorce!"
dialogue,Monica,Oh my God!
dialogue,Phoebe,Wow!
dialogue,Joey,(To Ross) What is the matter with you?!
dialogue,Phoebe,No! Barry and Mindy.
dialogue,Joey,"Oh sorry, I hear divorce I immediately go to Ross. (To Rachel) Who-who’s Barry and Mindy?"
dialogue,Rachel,Barry was the guy that I was almost married and Mindy was my best friend.
dialogue,Joey,"Ohh-oh, wasn’t he cheating on you with her?"
dialogue,Rachel,"Yeah, but that just means that he was falling asleep on top of her instead of me."
dialogue,Monica,Why did they get divorced?
dialogue,Rachel,"Well, apparently she caught him cheating on her with someone else. Isn’t that sad? (Giggles.) God, could you imagine if I actually married him?! I mean how different would my life be?"
dialogue,Ross,"I know what you mean, I’ve always wondered how different my life would be if-if I’d never gotten divorced."
dialogue,Phoebe,Which time?
dialogue,Ross,"The first time! No seriously, imagine if Carol hadn’t realized she was a lesbian."
dialogue,Joey,(starts to imagine it) I can’t. I keep seeing it the good way.
dialogue,Ross,"I’d bet I’d still be doing my kara-tay. (That’s karate, he’s just saying it that way.) Towards the end of our marriage I was doing a lot of kara-tay as a way of releasing the tension from y’know, not doing anything else physical."
dialogue,Chandler,Maybe the problem was you were pronouncing it kara-tay.
dialogue,Monica,"And what if I was still fat? (To Chandler) Well, you wouldn’t be dating me, that’s for sure."
dialogue,Chandler,Sure I would!
dialogue,All,(simultaneously) Oh yeah! Come on! Yeah right!
dialogue,Chandler,"What, you guys really think that I’m that shallow?"
dialogue,Ross,"No, I just think Monica was that fat."
dialogue,Joey,"Hey, imagine if I never got fired off Days Of Our Lives ! (Closes his eyes to do so.) Oh-hey, there’s Carol again!"
dialogue,Chandler,"What if I had had the guts to quit my job? I’d probably be writing for the New Yorker , getting paid to be funny. But my job’s fun too! I mean tomorrow, I-I don’t have to wear a tie."
dialogue,Phoebe,What if I had taken that job at Merrill Lynch ?
dialogue,Ross,What?!
dialogue,Rachel,Merrill Lynch ?
dialogue,Phoebe,"Yeah, I had a massage client who worked there and-and he said I had a knack for stocks."
dialogue,Rachel,Well why didn’t you take the job?
dialogue,Phoebe,"Because at that time you see, I thought everything that rhymed was true. So I thought y’know that if I’d work with stocks, I’d have to live in a box, and only eat lox, and have a pet fox."
dialogue,Ross,"Hey, do you guys think that if all those things happened, we’d still hang out?"
action,,Opening Credits
heading,,"[Scene: A newsstand, Ross is buying a magazine and gets in line behind a woman.]"
dialogue,Ross,(recognizing her) Oh my God! Rachel Green?
dialogue,Rachel,(gasps) Rob Tillman!
dialogue,Ross,"No-no. It’s-it’s me, Ross!"
dialogue,Rachel,"Oh, I’m sorry. Ross Tillman."
dialogue,Ross,"No, no-no, Ross Geller."
dialogue,Rachel,"Ohh, of course Monica’s brother!"
dialogue,Ross,Yeah. Right.
dialogue,Rachel,Wow! How are you?!
dialogue,Ross,"Good-good, I’m-I’m married. (Shows her his ring.)"
dialogue,Rachel,Ohh! Me too!
dialogue,Ross,Is-isn’t it the best?
dialogue,Rachel,"Oh, it’s the best! (They both exhale contemplating the joys of marriage.) So, umm how’s Monica?"
dialogue,Ross,"Oh really, really great! Yeah! A-actually she’s right down the street, umm, do-do you know what? You should stop bye and say hi."
dialogue,Rachel,"Ohh, I would love too."
dialogue,Ross,"Yeah? Oh-oh, she’d be so excited!"
dialogue,Rachel,Ohh! Okay!
dialogue,Ross,Come on! (They start to leave.)
dialogue,Rachel,"Oh wait, don’t you have to pay for your, (looks at his magazine) Busty Ladies?"
