script_element,character,text
heading,,"[Scene: Central Perk, the cast of Friends along with Conan O’Brien are sitting and talking.]"
dialogue,Conan,"It’s a tradition here on Friends after every taping for me to hang out with you guys, (They all laugh) talk down the episode umm… The point of this whole thing is what people see in America is: they see Friends , they love the show, it looks like a smooth running machine, but behind the scenes there’s deceit, mistrust, and hate. And I thought, I thought we’d actually take a look at uh, y’know some of these moments where you guys are—there are mistakes. You make mistakes."
dialogue,Jennifer,Once and a while.
dialogue,Lisa,From time to time.
dialogue,Conan,"For example, I don’t have to memorize lines. You guys actually have to remember what to say and you probably forget from time to time. Yes?"
dialogue,Matthew,"Our energy just comes way up when there’s an audience here and when that happens, something happens between your brain and your mouth sometimes and it just doesn’t, it just doesn’t work."
action,,"[Cut to Central Perk, Ross, Phoebe, Monica, and Chandler are there. I think it’s The One With The Joke.]"
dialogue,Ross,"Uh, oh-oh, umm no you didn’t. I did."
dialogue,Chandler,"Oh uh-uh, no-no-no-no-uh-uh. (He starts laughing, causing everyone else to laugh.)"
action,,"[Cut to Joey and Rachel's, Phoebe is talking. It looks like when Rachel and Monica lived in this apartment.]"
dialogue,Phoebe,"So, we realize that—Oh no… (She resets herself) I’m telling it! I’m telling it… (She loses it.)"
action,,"[Cut to Monica and Chandler's, Joey is talking to Monica and Chandler.]"
dialogue,Joey,"Ha-ha. Look—Come on, I don’t know what to do…or say. (He laughs.)"
action,,[Reset]
dialogue,Joey,"Ha-ha, very funny. I don’t know what to do! Y’know? Holy crud!"
action,,[Reset]
dialogue,Joey,"Ha-ha-ha, very funny. Look, I don’t know what to do! (Long pause, as everyone cracks up.)"
dialogue,Courtney,It is one of those days!
action,,"[Cut to Monica and Chandler's, Phoebe is speaking Italian to Joey’s grandmother. I’m spelling phonetically.]"
dialogue,Phoebe,"‘Xcusa seniora, voulez-bere quakay—[Beep]—uck it!"
dialogue,Matt,"Wow Pheebs, you-you speak gutter?"
action,,[Cut back to the cast and Conan.]
dialogue,Conan,You still get nervous everybody just before a show?
