script_element,character,text
heading,,"[Scene: Central Perk, everyone is there.]"
dialogue,Phoebe,"Oh, Ross, Mon, is it okay if I bring someone to your parent’s anniversary party?"
dialogue,Monica,Yeah.
dialogue,Ross,Sure. Yeah.
dialogue,Joey,"So, who’s the guy?"
dialogue,Phoebe,"Well, his name is Parker and I met him at the drycleaners."
dialogue,Chandler,"Oooh, did he put a little starch in your bloomers? (Sits up) Who said that?"
dialogue,Phoebe,"Yeah, he’s really great though. He has this incredible zest for life, and he treats me like a queen, except at night when he treats me like the naughty girl I am."
dialogue,Monica,"(To Ross) Oh, by the way. Would it be okay if I gave the toast to mom and dad this year?"
dialogue,Ross,"Uh, yeah, you sure you want to after what happened at their 20 th ?"
dialogue,Monica,"Yeah, I’d really like to."
dialogue,Ross,"Okay, hopefully this time mom won’t boo you."
dialogue,Monica,"Yes! Every year Ross makes the toast, and it’s always really moving, and always makes them cry. Well this year I’m going to make them cry."
dialogue,Chandler,And you wonder why Ross is their favorite?
dialogue,Monica,"No! Really! Any time Ross makes a toast everyone cries, and hugs him, and pats him on the back and they all come up to me and say, ""God, your brother."" Know what they’ll say this year? ""God, you"""
dialogue,Joey,"Well I can promise you, at least one person will be crying. (Points to himself) I’m an actor, and any actor worth himself can cry on cue. (snaps fingers)"
dialogue,Monica,Really you can do that?
dialogue,Joey,Are you kidding me? Watch! (Makes funny faces trying to cry) Well I can’t do it with you guys watching me!
action,,Opening Credits
heading,,"[Scene: Chandler and Monica’s, they’re getting ready to leave for the party.]"
dialogue,Chandler,What are you doing?
dialogue,Monica,"Oh I’m working on my toast for the party, or as I like to call it. Sob fest 2002. Hey check this out. (Hands him a picture.)"
dialogue,Chandler,It’s a dog.
dialogue,Monica,It’s a dead dog. That’s Chi-Chi; she died when I was in high school.
dialogue,Chandler,It’s your parents’ anniversary and you’re going to talk about their dead pet?
dialogue,Monica,"The good stuff, huh?"
action,,"(Ross, Joey, and Rachel enter)"
dialogue,Rachel,Hi!
dialogue,Ross,Hey!
dialogue,Joey,Hey!
dialogue,Monica,You got a present for my parents. That’s so sweet.
dialogue,Joey,"Yeah, yeah, in honor of their 35 th wedding anniversary, I had a star named after them."
dialogue,Ross,Aww that is so cool.
dialogue,Joey,And I got them a book on Karma Sutra for the elderly.
dialogue,Rachel,"Hey, do you guys have any extra ribbon?"
dialogue,Chandler,"Yeah, sure. What do you need? We got lace, satin, sateen, raffia, gingham, felt, (Pause) and I think my testacles may be in here too."
dialogue,Ross,"(picking up Chi-Chi’s picture) Aww! Chi-Chi! Oh, I loved this dog! Y’know Monica couldn’t get braces because Chi-Chi needed knee surgery."
dialogue,Monica,What?!
dialogue,Ross,You were the 200-pound 11-year-old who rode her!
action,,(Phoebe and Parker enter)
dialogue,Phoebe,Hey!
dialogue,All,Hi!
dialogue,Phoebe,"Everybody, this is Parker, Parker this is…"
dialogue,Parker,"No, no, no wait! Don’t tell me. Let me guess. (Points as he says their names) Joey, Monica, Ross, Rachel and, I’m sorry Phoebe didn’t mention you. (Chandler makes a face) Chandler, I’m kidding all ready you’re my favorite!"
dialogue,Chandler,Ha!
dialogue,Parker,Why don’t all of you tell me a little about your self?
dialogue,Ross,"Ah, actually, I’m sorry we-we probably should get going."
dialogue,Parker,"(laughs) Classic Ross. Rachel, Rachel, oh how you glow. May I? (Puts hand on her stomach)"
dialogue,Rachel,"I, uh, think you already are."
dialogue,Parker,"Rachel, you have life growing inside you. Is there anything in this world more miraculous than—Oh a picture of a dog! Whose is this?"
dialogue,Monica,That’s my old dog. He passed away years ago.
dialogue,Parker,"Oh well, at least you were lucky to have him. Bow-wow old friend, bow-wow. So where’s the party?"
dialogue,Monica,It’s out on the island. It’s in Massapequa.
dialogue,Parker,"Maaaassapequa, sounds like a magical place. Tell me about Massapequa, is it steep in Native American history? {Transcriber’s Note: Interestingly Alec Baldwin was born in Massapequa.}"
dialogue,Ross,"Well, there is an Arby’s in the shape of a tee-pee."
dialogue,Monica,"Okay, I got my note cards. (To Chandler) Do you got the presents?"
dialogue,Chandler,Yeah.
dialogue,Monica,And I’ve got the car keys.
dialogue,Parker,We’re driving!?
dialogue,Monica,Yeah.
dialogue,Parker,Aces!
action,,(Everyone except Ross and Rachel leave.)
dialogue,Ross,"So uh, he seems like a nice guy."
dialogue,Rachel,"Yeah, yeah I like him a lot."
dialogue,Ross,Ya wanna hang back and take our own cab?
dialogue,Rachel,"Yeah, otherwise I’m not going."
heading,,"[Scene: The Anniversary Party, Ross and Rachel are arriving and see his parents.]"
dialogue,Mr. Geller and Mrs. Geller,Hi
dialogue,Ross,Hi! (Kisses his mom.) Hey mom.
dialogue,Rachel,"This is such a great party! 35 years. Very impressive, do you guys have any pearls of wisdom?"
dialogue,Mrs. Geller,Jack?
dialogue,Mr. Geller,Why would you serve food on such a sharp stick? (Looking a toothpick)
dialogue,Ross,"That’s a good question, dad. That’s a good question…"
dialogue,Rachel,Hmmm….
dialogue,Woman,(To Ross and Rachel) Congratulations you two!
dialogue,Rachel,Thank you…we’re so excited
dialogue,Woman,"And also, congratulations on your wedding."
dialogue,Ross,Wha—What?
dialogue,Mrs. Geller,"Can we talk to you for just a y’know… It’s just a little thing. Well we think it’s absolutely marvelous that you’re having this baby out of wedlock, some of our friends are less open-minded. Which is why we’ve told them all that you’re married."
dialogue,Ross and Rachel,What?!
dialogue,Mrs. Geller,Thanks for going along with this.
dialogue,Ross,Dad so what we have to pretend that we’re married?
dialogue,Mr. Geller,"Son, I had to shave my ears for tonight. You can do this."
dialogue,Ross,Can you believe that?
dialogue,Rachel,"Yeah, if you’re going to do the ears, you might as well take a pass at the nosal area."
dialogue,Ross,"No, us having to lie about being married."
dialogue,Rachel,"No, I know I don’t either, but ya know what, it’s their party, and it’s just one night. And we don’t even have to lie; we just won’t say anything. If it comes up again, we’ll just…smile. We’ll nod along."
dialogue,Woman,Ross!
